2023-03-15 12:12:57 startup archives unpack
2023-03-15 12:12:58 upgrade curl:armhf 7.74.0-1.3+deb11u5 7.74.0-1.3+deb11u7
2023-03-15 12:12:58 status half-configured curl:armhf 7.74.0-1.3+deb11u5
2023-03-15 12:12:59 status unpacked curl:armhf 7.74.0-1.3+deb11u5
2023-03-15 12:12:59 status half-installed curl:armhf 7.74.0-1.3+deb11u5
2023-03-15 12:12:59 status triggers-pending man-db:armhf 2.9.4-2
2023-03-15 12:12:59 status unpacked curl:armhf 7.74.0-1.3+deb11u7
2023-03-15 12:12:59 upgrade libcurl4:armhf 7.74.0-1.3+deb11u5 7.74.0-1.3+deb11u7
2023-03-15 12:12:59 status triggers-pending libc-bin:armhf 2.31-13+rpt2+rpi1+deb11u5
2023-03-15 12:12:59 status half-configured libcurl4:armhf 7.74.0-1.3+deb11u5
2023-03-15 12:12:59 status unpacked libcurl4:armhf 7.74.0-1.3+deb11u5
2023-03-15 12:12:59 status half-installed libcurl4:armhf 7.74.0-1.3+deb11u5
2023-03-15 12:12:59 status unpacked libcurl4:armhf 7.74.0-1.3+deb11u7
2023-03-15 12:13:00 upgrade raspberrypi-kernel:armhf 1:1.20230106-1 1:1.20230306-1
2023-03-15 12:13:00 status half-configured raspberrypi-kernel:armhf 1:1.20230106-1
2023-03-15 12:13:00 status unpacked raspberrypi-kernel:armhf 1:1.20230106-1
2023-03-15 12:13:00 status half-installed raspberrypi-kernel:armhf 1:1.20230106-1
2023-03-15 12:13:49 status unpacked raspberrypi-kernel:armhf 1:1.20230306-1
2023-03-15 12:13:50 upgrade libcamera0:armhf 0~git20230124+9b860a66-1 0~git20230302+923f5d70-1
2023-03-15 12:13:50 status half-configured libcamera0:armhf 0~git20230124+9b860a66-1
2023-03-15 12:13:50 status unpacked libcamera0:armhf 0~git20230124+9b860a66-1
2023-03-15 12:13:50 status half-installed libcamera0:armhf 0~git20230124+9b860a66-1
2023-03-15 12:13:51 status unpacked libcamera0:armhf 0~git20230302+923f5d70-1
2023-03-15 12:13:51 upgrade libtiff5:armhf 4.2.0-1+deb11u3 4.2.0-1+deb11u4
2023-03-15 12:13:51 status half-configured libtiff5:armhf 4.2.0-1+deb11u3
2023-03-15 12:13:51 status unpacked libtiff5:armhf 4.2.0-1+deb11u3
2023-03-15 12:13:51 status half-installed libtiff5:armhf 4.2.0-1+deb11u3
2023-03-15 12:13:51 status unpacked libtiff5:armhf 4.2.0-1+deb11u4
2023-03-15 12:13:51 upgrade libcamera-apps-lite:armhf 0~git20230125+9f08463-1 0~git20230301+54a781d-1
2023-03-15 12:13:51 status half-configured libcamera-apps-lite:armhf 0~git20230125+9f08463-1
2023-03-15 12:13:51 status unpacked libcamera-apps-lite:armhf 0~git20230125+9f08463-1
2023-03-15 12:13:51 status half-installed libcamera-apps-lite:armhf 0~git20230125+9f08463-1
2023-03-15 12:13:52 status unpacked libcamera-apps-lite:armhf 0~git20230301+54a781d-1
2023-03-15 12:13:52 upgrade libcurl3-gnutls:armhf 7.74.0-1.3+deb11u5 7.74.0-1.3+deb11u7
2023-03-15 12:13:52 status half-configured libcurl3-gnutls:armhf 7.74.0-1.3+deb11u5
2023-03-15 12:13:52 status unpacked libcurl3-gnutls:armhf 7.74.0-1.3+deb11u5
2023-03-15 12:13:52 status half-installed libcurl3-gnutls:armhf 7.74.0-1.3+deb11u5
2023-03-15 12:13:52 status unpacked libcurl3-gnutls:armhf 7.74.0-1.3+deb11u7
2023-03-15 12:13:52 upgrade linux-libc-dev:armhf 1:1.20230106-1 1:1.20230306-1
2023-03-15 12:13:52 status half-configured linux-libc-dev:armhf 1:1.20230106-1
2023-03-15 12:13:52 status unpacked linux-libc-dev:armhf 1:1.20230106-1
2023-03-15 12:13:52 status half-installed linux-libc-dev:armhf 1:1.20230106-1
2023-03-15 12:13:56 status unpacked linux-libc-dev:armhf 1:1.20230306-1
2023-03-15 12:13:57 upgrade python3-libcamera:armhf 0~git20230124+9b860a66-1 0~git20230302+923f5d70-1
2023-03-15 12:13:57 status half-configured python3-libcamera:armhf 0~git20230124+9b860a66-1
2023-03-15 12:13:57 status unpacked python3-libcamera:armhf 0~git20230124+9b860a66-1
2023-03-15 12:13:57 status half-installed python3-libcamera:armhf 0~git20230124+9b860a66-1
2023-03-15 12:13:57 status unpacked python3-libcamera:armhf 0~git20230302+923f5d70-1
2023-03-15 12:13:57 upgrade python3-v4l2:all 0.3.1-1 0.3.2-1
2023-03-15 12:13:57 status half-configured python3-v4l2:all 0.3.1-1
2023-03-15 12:13:58 status unpacked python3-v4l2:all 0.3.1-1
2023-03-15 12:13:58 status half-installed python3-v4l2:all 0.3.1-1
2023-03-15 12:13:58 status unpacked python3-v4l2:all 0.3.2-1
2023-03-15 12:13:58 upgrade python3-picamera2:all 0.3.8-1 0.3.9-1
2023-03-15 12:13:58 status half-configured python3-picamera2:all 0.3.8-1
2023-03-15 12:13:58 status unpacked python3-picamera2:all 0.3.8-1
2023-03-15 12:13:58 status half-installed python3-picamera2:all 0.3.8-1
2023-03-15 12:13:58 status unpacked python3-picamera2:all 0.3.9-1
2023-03-15 12:13:59 upgrade raspberrypi-bootloader:armhf 1:1.20230106-1 1:1.20230306-1
2023-03-15 12:13:59 status half-configured raspberrypi-bootloader:armhf 1:1.20230106-1
2023-03-15 12:13:59 status unpacked raspberrypi-bootloader:armhf 1:1.20230106-1
2023-03-15 12:13:59 status half-installed raspberrypi-bootloader:armhf 1:1.20230106-1
2023-03-15 12:14:05 status unpacked raspberrypi-bootloader:armhf 1:1.20230306-1
2023-03-15 12:14:05 upgrade vcdbg:armhf 1:1.20230106-1 1:1.20230306-1
2023-03-15 12:14:05 status half-configured vcdbg:armhf 1:1.20230106-1
2023-03-15 12:14:05 status unpacked vcdbg:armhf 1:1.20230106-1
2023-03-15 12:14:05 status half-installed vcdbg:armhf 1:1.20230106-1
2023-03-15 12:14:05 status unpacked vcdbg:armhf 1:1.20230306-1
2023-03-15 12:14:05 startup packages configure
2023-03-15 12:14:05 configure vcdbg:armhf 1:1.20230306-1 <none>
2023-03-15 12:14:05 status unpacked vcdbg:armhf 1:1.20230306-1
2023-03-15 12:14:05 status half-configured vcdbg:armhf 1:1.20230306-1
2023-03-15 12:14:07 status installed vcdbg:armhf 1:1.20230306-1
2023-03-15 12:14:07 configure linux-libc-dev:armhf 1:1.20230306-1 <none>
2023-03-15 12:14:07 status unpacked linux-libc-dev:armhf 1:1.20230306-1
2023-03-15 12:14:07 status half-configured linux-libc-dev:armhf 1:1.20230306-1
2023-03-15 12:14:07 status installed linux-libc-dev:armhf 1:1.20230306-1
2023-03-15 12:14:07 configure libcurl3-gnutls:armhf 7.74.0-1.3+deb11u7 <none>
2023-03-15 12:14:07 status unpacked libcurl3-gnutls:armhf 7.74.0-1.3+deb11u7
2023-03-15 12:14:07 status half-configured libcurl3-gnutls:armhf 7.74.0-1.3+deb11u7
2023-03-15 12:14:07 status installed libcurl3-gnutls:armhf 7.74.0-1.3+deb11u7
2023-03-15 12:14:07 configure raspberrypi-kernel:armhf 1:1.20230306-1 <none>
2023-03-15 12:14:07 status unpacked raspberrypi-kernel:armhf 1:1.20230306-1
